lake,motorbike,mindthegap,speech,laughter,footstepsongrass,keylock,switch,trolley,keys,knock,train,cooking,cough,pushbike,doorslam,buspassby,checkoutbeeps,drawer,phone,doorclose,lightrain,running,gate,birdsong,footsteps,money,clearthroat,slidingDoorclose,wind,chairsmoving,bagrustle
[[0.7355989]],[[0.7300595]],[[0.6931866]],[[0.7805966]],[[0.705395]],[[0.7181518]],[[0.8223944]],[[0.7598259]],[[0.776275]],[[0.7675253]],[[0.7309661]],[[0.6834282]],[[0.68003154]],[[0.74782956]],[[0.76533496]],[[0.7198936]],[[0.7401831]],[[0.76588166]],[[0.720665]],[[0.7869188]],[[0.7048937]],[[0.7179203]],[[0.69971883]],[[0.7085502]],[[0.7275828]],[[0.67695683]],[[0.7600748]],[[0.8588196]],[[0.7368131]],[[0.75058776]],[[0.79880464]],[[0.6744752]]
[[0.7512482]],[[0.6632824]],[[0.7040893]],[[0.6077707]],[[0.60144675]],[[0.67608035]],[[0.7284732]],[[0.7083203]],[[0.7047403]],[[0.6957625]],[[0.69499636]],[[0.59298986]],[[0.6654771]],[[0.6545155]],[[0.71167827]],[[0.72491753]],[[0.7837516]],[[0.7805764]],[[0.6112163]],[[0.73914135]],[[0.74249196]],[[0.7112303]],[[0.6385461]],[[0.7180413]],[[0.7041567]],[[0.6246518]],[[0.6368234]],[[0.74717295]],[[0.7877079]],[[0.68766403]],[[0.6596911]],[[0.72343636]]
[[0.70463026]],[[0.61049926]],[[0.62218434]],[[0.655892]],[[0.69537807]],[[0.69325]],[[0.62935597]],[[0.62354827]],[[0.6392584]],[[0.6066752]],[[0.6818362]],[[0.64175445]],[[0.70287526]],[[0.6968256]],[[0.64876455]],[[0.69827443]],[[0.6933064]],[[0.72999656]],[[0.6188589]],[[0.63481987]],[[0.66758406]],[[0.6796273]],[[0.6234848]],[[0.5927136]],[[0.78486544]],[[0.6062262]],[[0.66199785]],[[0.70385516]],[[0.6741103]],[[0.7218363]],[[0.5923395]],[[0.6734961]]
[[0.75078934]],[[0.69220704]],[[0.6684238]],[[0.51373005]],[[0.5757109]],[[0.58155537]],[[0.74045527]],[[0.62920064]],[[0.7400525]],[[0.6973041]],[[0.50268215]],[[0.6829965]],[[0.6768669]],[[0.59137493]],[[0.7206576]],[[0.7103874]],[[0.71036404]],[[0.7568553]],[[0.6782571]],[[0.72754514]],[[0.69338316]],[[0.75900257]],[[0.63981426]],[[0.6558957]],[[0.5809295]],[[0.556178]],[[0.6405066]],[[0.67765987]],[[0.7289396]],[[0.67489344]],[[0.7149004]],[[0.6708363]]
[[0.69041914]],[[0.6568744]],[[0.6601364]],[[0.68505216]],[[0.6431512]],[[0.7462381]],[[0.7585272]],[[0.69269985]],[[0.75163174]],[[0.7747527]],[[0.7619183]],[[0.717341]],[[0.6502719]],[[0.7139628]],[[0.75447595]],[[0.7565414]],[[0.8492711]],[[0.6580809]],[[0.7722282]],[[0.67196125]],[[0.70373297]],[[0.710557]],[[0.70274526]],[[0.68821174]],[[0.6540646]],[[0.734442]],[[0.69653726]],[[0.7406546]],[[0.7310942]],[[0.6236603]],[[0.7197837]],[[0.71330225]]
[[0.6577279]],[[0.68575054]],[[0.72453254]],[[0.6763457]],[[0.57752657]],[[0.7015004]],[[0.7621671]],[[0.7037474]],[[0.7441169]],[[0.7332826]],[[0.67806435]],[[0.71895415]],[[0.62756574]],[[0.70803416]],[[0.69368863]],[[0.73435754]],[[0.83617306]],[[0.63146484]],[[0.74531007]],[[0.6583271]],[[0.749713]],[[0.7093974]],[[0.6241025]],[[0.7282742]],[[0.65025663]],[[0.7602928]],[[0.6170328]],[[0.754879]],[[0.79666615]],[[0.66632384]],[[0.72156346]],[[0.7283007]]
[[0.705759]],[[0.6323597]],[[0.70740616]],[[0.73587275]],[[0.7159889]],[[0.71858996]],[[0.7187035]],[[0.7534828]],[[0.78312355]],[[0.7121039]],[[0.81010073]],[[0.75975144]],[[0.75368476]],[[0.67272806]],[[0.70485437]],[[0.7027912]],[[0.7248496]],[[0.6633309]],[[0.7583152]],[[0.7076438]],[[0.7169262]],[[0.72995806]],[[0.7357796]],[[0.7011628]],[[0.71184033]],[[0.7117213]],[[0.73197186]],[[0.80388457]],[[0.75372654]],[[0.6957505]],[[0.77660555]],[[0.702977]]
[[0.6467013]],[[0.64869004]],[[0.604728]],[[0.7073338]],[[0.67337084]],[[0.7402563]],[[0.7197939]],[[0.598545]],[[0.70713675]],[[0.6882669]],[[0.6710338]],[[0.6886996]],[[0.61443985]],[[0.731791]],[[0.65269303]],[[0.67239845]],[[0.7021138]],[[0.66253394]],[[0.74394226]],[[0.6500863]],[[0.6619831]],[[0.67519975]],[[0.6115633]],[[0.66278034]],[[0.63512576]],[[0.7091664]],[[0.6477273]],[[0.6775184]],[[0.698327]],[[0.6441045]],[[0.7279894]],[[0.66545904]]
[[0.6906636]],[[0.64664656]],[[0.6178234]],[[0.58671415]],[[0.6023155]],[[0.7504823]],[[0.60659254]],[[0.6164452]],[[0.7802346]],[[0.6609536]],[[0.5797167]],[[0.71850216]],[[0.74803126]],[[0.7180804]],[[0.6549283]],[[0.60715306]],[[0.6806139]],[[0.6393332]],[[0.8008903]],[[0.63390595]],[[0.62067133]],[[0.65782464]],[[0.70132154]],[[0.63227403]],[[0.6181419]],[[0.718168]],[[0.6394919]],[[0.67665625]],[[0.7324749]],[[0.63850015]],[[0.7679684]],[[0.6674055]]
[[0.71159565]],[[0.74051696]],[[0.7159365]],[[0.70098853]],[[0.6516273]],[[0.7752162]],[[0.78642535]],[[0.74995565]],[[0.8095516]],[[0.7694255]],[[0.7445241]],[[0.83264637]],[[0.70481205]],[[0.74636686]],[[0.81962925]],[[0.77841616]],[[0.83235586]],[[0.62296426]],[[0.8162706]],[[0.730567]],[[0.7486546]],[[0.79618716]],[[0.7596184]],[[0.7157804]],[[0.63983613]],[[0.75840634]],[[0.7621949]],[[0.7969332]],[[0.7891738]],[[0.6929487]],[[0.75330925]],[[0.7173823]]
[[0.6032089]],[[0.6925222]],[[0.70736814]],[[0.6458572]],[[0.58811545]],[[0.6397561]],[[0.7288947]],[[0.7029643]],[[0.6994646]],[[0.7343534]],[[0.72884524]],[[0.6119907]],[[0.6709283]],[[0.652756]],[[0.75396687]],[[0.80604184]],[[0.7831706]],[[0.6745361]],[[0.810943]],[[0.63455045]],[[0.7821553]],[[0.6306268]],[[0.6335838]],[[0.6968738]],[[0.6891329]],[[0.6181636]],[[0.65527844]],[[0.75599384]],[[0.8094533]],[[0.7248579]],[[0.729488]],[[0.5880721]]
[[0.7329693]],[[0.6492092]],[[0.7157744]],[[0.5193279]],[[0.5509659]],[[0.6003547]],[[0.66402507]],[[0.75464547]],[[0.7958347]],[[0.69482887]],[[0.5337194]],[[0.6274141]],[[0.6835481]],[[0.54151094]],[[0.67780167]],[[0.68008924]],[[0.78141105]],[[0.68778193]],[[0.67965484]],[[0.6488743]],[[0.6640303]],[[0.69415754]],[[0.66361284]],[[0.62167424]],[[0.5620743]],[[0.620753]],[[0.65650815]],[[0.6805173]],[[0.7278185]],[[0.7014084]],[[0.7223545]],[[0.69752944]]
[[0.6246611]],[[0.6679744]],[[0.69087946]],[[0.70673954]],[[0.62373525]],[[0.6849252]],[[0.7210502]],[[0.74136555]],[[0.6895321]],[[0.7509377]],[[0.6715012]],[[0.64036614]],[[0.65827346]],[[0.68078965]],[[0.7218109]],[[0.7060984]],[[0.74374044]],[[0.7319331]],[[0.65657955]],[[0.64697653]],[[0.65568393]],[[0.69017327]],[[0.67553055]],[[0.65906286]],[[0.72313833]],[[0.6345614]],[[0.67450637]],[[0.68567914]],[[0.64709216]],[[0.65253085]],[[0.68070173]],[[0.66010916]]
[[0.72875804]],[[0.627347]],[[0.72260606]],[[0.6045513]],[[0.58414763]],[[0.6667168]],[[0.66751575]],[[0.7041938]],[[0.7206333]],[[0.73026055]],[[0.5159088]],[[0.66358066]],[[0.73477113]],[[0.5927111]],[[0.6727636]],[[0.59743655]],[[0.6441629]],[[0.7015239]],[[0.59580374]],[[0.64495134]],[[0.5705997]],[[0.6558583]],[[0.7090073]],[[0.6558379]],[[0.689503]],[[0.630705]],[[0.69574976]],[[0.7342867]],[[0.63091385]],[[0.6593968]],[[0.7171552]],[[0.66342807]]
[[0.68718225]],[[0.7036853]],[[0.69487166]],[[0.5197805]],[[0.62119526]],[[0.59892404]],[[0.81972814]],[[0.7771541]],[[0.8904921]],[[0.8444426]],[[0.78107035]],[[0.67620635]],[[0.7462656]],[[0.63900054]],[[0.80635077]],[[0.81611145]],[[0.86482155]],[[0.7712969]],[[0.81459236]],[[0.69479775]],[[0.8187731]],[[0.7909384]],[[0.7159029]],[[0.7890377]],[[0.44811922]],[[0.65405154]],[[0.74335825]],[[0.7371637]],[[0.8520148]],[[0.6614295]],[[0.7544646]],[[0.7467797]]
[[0.66480523]],[[0.68630195]],[[0.64797175]],[[0.5698278]],[[0.5490743]],[[0.60477984]],[[0.6770975]],[[0.6708034]],[[0.69281507]],[[0.63431484]],[[0.6567536]],[[0.594869]],[[0.5436479]],[[0.6860646]],[[0.7121549]],[[0.6268586]],[[0.7744442]],[[0.71337247]],[[0.6982896]],[[0.5893417]],[[0.6925091]],[[0.61142296]],[[0.58945924]],[[0.65306526]],[[0.4659902]],[[0.6180735]],[[0.5391367]],[[0.7604829]],[[0.76622504]],[[0.612691]],[[0.67911947]],[[0.732051]]
[[0.6949932]],[[0.6147834]],[[0.68514645]],[[0.66757226]],[[0.66467565]],[[0.6703671]],[[0.683195]],[[0.6881333]],[[0.7212052]],[[0.5892592]],[[0.715056]],[[0.63623357]],[[0.5948069]],[[0.6667597]],[[0.68916357]],[[0.68740076]],[[0.8336863]],[[0.755453]],[[0.69429183]],[[0.6174937]],[[0.7828492]],[[0.67322993]],[[0.66735077]],[[0.69694406]],[[0.5716131]],[[0.69457704]],[[0.6173213]],[[0.7735617]],[[0.81391287]],[[0.6245913]],[[0.6528389]],[[0.7014782]]
[[0.6827067]],[[0.7191914]],[[0.77362984]],[[0.7208369]],[[0.72681427]],[[0.7737839]],[[0.7332598]],[[0.75429296]],[[0.7792858]],[[0.66574985]],[[0.7076701]],[[0.69981325]],[[0.6649823]],[[0.66669035]],[[0.72052926]],[[0.76442766]],[[0.8479657]],[[0.8081807]],[[0.73369366]],[[0.6365723]],[[0.81443864]],[[0.69167376]],[[0.70779717]],[[0.7970085]],[[0.5763489]],[[0.8137809]],[[0.7183457]],[[0.648649]],[[0.879921]],[[0.6225958]],[[0.74238336]],[[0.6882229]]
[[0.6691103]],[[0.6324909]],[[0.6822043]],[[0.6906802]],[[0.69696504]],[[0.68690765]],[[0.65389884]],[[0.72339165]],[[0.7322422]],[[0.6050717]],[[0.6781085]],[[0.63215697]],[[0.6277322]],[[0.7236699]],[[0.69482833]],[[0.6711018]],[[0.7702261]],[[0.74291426]],[[0.60547274]],[[0.6266863]],[[0.73489875]],[[0.6062099]],[[0.6846683]],[[0.70628047]],[[0.6385169]],[[0.7004657]],[[0.6705593]],[[0.70835316]],[[0.7944846]],[[0.6348843]],[[0.65776086]],[[0.6560677]]
[[0.6708909]],[[0.60034394]],[[0.6812888]],[[0.7279903]],[[0.7046257]],[[0.6934788]],[[0.6778735]],[[0.69158024]],[[0.66346973]],[[0.64194965]],[[0.70266867]],[[0.62404233]],[[0.6517295]],[[0.6869539]],[[0.6680856]],[[0.6402221]],[[0.7233242]],[[0.8000914]],[[0.66515946]],[[0.6436801]],[[0.7542163]],[[0.5677763]],[[0.68660766]],[[0.7473607]],[[0.67820203]],[[0.73930407]],[[0.68558025]],[[0.750854]],[[0.8048477]],[[0.65099204]],[[0.6972491]],[[0.74496275]]
[[0.6946635]],[[0.6717418]],[[0.6742533]],[[0.7291802]],[[0.7438942]],[[0.6751434]],[[0.70988005]],[[0.6879186]],[[0.7687374]],[[0.6344341]],[[0.6512698]],[[0.7007892]],[[0.68798923]],[[0.71118975]],[[0.68288374]],[[0.64854056]],[[0.6794977]],[[0.7847596]],[[0.6943024]],[[0.6494049]],[[0.73851174]],[[0.7069194]],[[0.6854118]],[[0.7112393]],[[0.66665745]],[[0.6909966]],[[0.6763368]],[[0.72856003]],[[0.80298316]],[[0.6639222]],[[0.7597276]],[[0.6444746]]
[[0.67794895]],[[0.6266722]],[[0.6996682]],[[0.6928358]],[[0.6969095]],[[0.67429554]],[[0.67377603]],[[0.73806554]],[[0.74961513]],[[0.62671304]],[[0.6904076]],[[0.63731945]],[[0.6922401]],[[0.66253054]],[[0.66417384]],[[0.69156706]],[[0.7216233]],[[0.7923176]],[[0.6237779]],[[0.6382454]],[[0.74882644]],[[0.6448114]],[[0.7121283]],[[0.7356662]],[[0.63293505]],[[0.7200216]],[[0.69871974]],[[0.7348211]],[[0.7736786]],[[0.6580287]],[[0.64954937]],[[0.7212966]]
[[0.6947854]],[[0.63918656]],[[0.6874723]],[[0.72117]],[[0.75234306]],[[0.6618538]],[[0.6650653]],[[0.6670213]],[[0.72441554]],[[0.61475736]],[[0.76024574]],[[0.6224963]],[[0.67416894]],[[0.73779726]],[[0.6556097]],[[0.6810078]],[[0.7504259]],[[0.81486654]],[[0.6098649]],[[0.70432264]],[[0.76100713]],[[0.61768985]],[[0.6956589]],[[0.7529667]],[[0.7254337]],[[0.7027668]],[[0.68990624]],[[0.85985476]],[[0.66196203]],[[0.6813306]],[[0.649407]],[[0.7079171]]
[[0.7439552]],[[0.7190343]],[[0.71792173]],[[0.73356956]],[[0.74759996]],[[0.6822672]],[[0.67543584]],[[0.74937236]],[[0.768029]],[[0.70160043]],[[0.6245553]],[[0.7062215]],[[0.6808141]],[[0.77475095]],[[0.7248935]],[[0.6877981]],[[0.7748091]],[[0.7259461]],[[0.7533526]],[[0.6505093]],[[0.6604235]],[[0.6290384]],[[0.75858235]],[[0.7616165]],[[0.7396995]],[[0.6008227]],[[0.751556]],[[0.71441567]],[[0.6767818]],[[0.730236]],[[0.7522274]],[[0.6866981]]
[[0.76919144]],[[0.78616]],[[0.74113595]],[[0.67106485]],[[0.6991098]],[[0.6531558]],[[0.73669213]],[[0.758671]],[[0.66337115]],[[0.7355202]],[[0.72226346]],[[0.6703267]],[[0.72147167]],[[0.70684224]],[[0.7346502]],[[0.7049365]],[[0.7858318]],[[0.7938044]],[[0.7024442]],[[0.6808619]],[[0.80650824]],[[0.6833697]],[[0.6267209]],[[0.7644047]],[[0.57680446]],[[0.7063985]],[[0.70715195]],[[0.61986727]],[[0.840855]],[[0.62880754]],[[0.7034933]],[[0.57734996]]
[[0.66816974]],[[0.6255322]],[[0.7414089]],[[0.67532074]],[[0.66495496]],[[0.6593329]],[[0.69103634]],[[0.68242925]],[[0.6580336]],[[0.6465302]],[[0.65611136]],[[0.6950776]],[[0.6873216]],[[0.62740153]],[[0.7160865]],[[0.7279222]],[[0.70236886]],[[0.7102723]],[[0.72109187]],[[0.6623076]],[[0.7694684]],[[0.6102109]],[[0.68046415]],[[0.72460777]],[[0.5648197]],[[0.68406016]],[[0.6899911]],[[0.7925794]],[[0.81209826]],[[0.63986105]],[[0.7022139]],[[0.6848613]]
[[0.7180551]],[[0.64758766]],[[0.5887946]],[[0.6489326]],[[0.6522273]],[[0.622213]],[[0.68349785]],[[0.68076503]],[[0.605815]],[[0.666608]],[[0.6589252]],[[0.61614645]],[[0.6381891]],[[0.7188556]],[[0.6060903]],[[0.7282264]],[[0.7259509]],[[0.8090063]],[[0.6706604]],[[0.7163505]],[[0.6888097]],[[0.6691474]],[[0.60387343]],[[0.593033]],[[0.5976746]],[[0.6371015]],[[0.6966375]],[[0.6930015]],[[0.7652868]],[[0.6462935]],[[0.54038775]],[[0.6364708]]
[[0.6406764]],[[0.6728101]],[[0.767006]],[[0.7332356]],[[0.7304677]],[[0.7327084]],[[0.7307198]],[[0.7615127]],[[0.64470315]],[[0.6318054]],[[0.6941935]],[[0.7586267]],[[0.64372575]],[[0.654508]],[[0.70600283]],[[0.8076408]],[[0.8105485]],[[0.7942914]],[[0.7085091]],[[0.6620842]],[[0.85034364]],[[0.73480105]],[[0.68871975]],[[0.80320036]],[[0.5729264]],[[0.78224844]],[[0.719815]],[[0.79094374]],[[0.85490036]],[[0.67291623]],[[0.6509079]],[[0.7295844]]
[[0.744111]],[[0.6827678]],[[0.6528171]],[[0.69302624]],[[0.6695385]],[[0.7003959]],[[0.7338009]],[[0.68540335]],[[0.66762733]],[[0.66987413]],[[0.64194196]],[[0.7910444]],[[0.7389281]],[[0.77319]],[[0.70056283]],[[0.6190753]],[[0.79273355]],[[0.6489325]],[[0.77069306]],[[0.72542906]],[[0.7438172]],[[0.675267]],[[0.7101718]],[[0.7625668]],[[0.6658725]],[[0.7670014]],[[0.69507885]],[[0.7171275]],[[0.7772434]],[[0.65155387]],[[0.83672476]],[[0.7431675]]
[[0.71837676]],[[0.6562175]],[[0.6913365]],[[0.6859579]],[[0.5901074]],[[0.66854984]],[[0.6851058]],[[0.66400415]],[[0.71553755]],[[0.6352626]],[[0.6095783]],[[0.6977066]],[[0.67065793]],[[0.66422194]],[[0.7090938]],[[0.7112563]],[[0.8289727]],[[0.74002075]],[[0.74585414]],[[0.6558427]],[[0.7837417]],[[0.6724331]],[[0.6993476]],[[0.7595483]],[[0.53026474]],[[0.6943537]],[[0.6447116]],[[0.7462044]],[[0.7816218]],[[0.5926461]],[[0.64833564]],[[0.7394178]]
[[0.7451074]],[[0.6574248]],[[0.67034405]],[[0.68387073]],[[0.73062]],[[0.6573273]],[[0.51818264]],[[0.590994]],[[0.7721034]],[[0.38475096]],[[0.65614307]],[[0.691725]],[[0.66342974]],[[0.6197686]],[[0.6888243]],[[0.61960477]],[[0.7356279]],[[0.71193045]],[[0.710825]],[[0.6404231]],[[0.6779783]],[[0.7359238]],[[0.67500764]],[[0.62211746]],[[0.62592256]],[[0.6958641]],[[0.6614448]],[[0.7967243]],[[0.69878244]],[[0.69138837]],[[0.6287231]],[[0.7536801]]
[[0.7179737]],[[0.6466999]],[[0.69227135]],[[0.67506546]],[[0.67289805]],[[0.6049357]],[[0.59111035]],[[0.6769159]],[[0.69034064]],[[0.49130154]],[[0.6000879]],[[0.6273933]],[[0.61513907]],[[0.5523449]],[[0.6719292]],[[0.63624173]],[[0.7087666]],[[0.7966982]],[[0.59368074]],[[0.5995619]],[[0.647964]],[[0.7215545]],[[0.6522089]],[[0.62251735]],[[0.59685695]],[[0.597807]],[[0.6376502]],[[0.8178487]],[[0.657544]],[[0.6667607]],[[0.586371]],[[0.7873731]]
[[0.7374433]],[[0.6087184]],[[0.7097356]],[[0.74674785]],[[0.71111095]],[[0.6509148]],[[0.6310104]],[[0.6728323]],[[0.6601774]],[[0.5694071]],[[0.66372186]],[[0.6401138]],[[0.65905744]],[[0.59555393]],[[0.65925974]],[[0.60375434]],[[0.710216]],[[0.82179224]],[[0.6608936]],[[0.63520586]],[[0.7096925]],[[0.6360506]],[[0.6872422]],[[0.6931449]],[[0.65842146]],[[0.6696563]],[[0.6715505]],[[0.8396708]],[[0.7173527]],[[0.67620087]],[[0.650164]],[[0.8409209]]
[[0.7035162]],[[0.6301504]],[[0.6926258]],[[0.64524764]],[[0.62149143]],[[0.71573013]],[[0.7047523]],[[0.649202]],[[0.6832886]],[[0.59303665]],[[0.67979336]],[[0.6296427]],[[0.59695345]],[[0.5040548]],[[0.68063486]],[[0.7394113]],[[0.7676158]],[[0.74223167]],[[0.65472806]],[[0.5957582]],[[0.78720933]],[[0.7144705]],[[0.62222016]],[[0.6320574]],[[0.71824753]],[[0.6920968]],[[0.63454354]],[[0.74729687]],[[0.8246788]],[[0.6095699]],[[0.67039925]],[[0.72569114]]
[[0.7668259]],[[0.6386608]],[[0.7018977]],[[0.75052685]],[[0.7077645]],[[0.70816714]],[[0.7008682]],[[0.6314485]],[[0.74432933]],[[0.6542075]],[[0.7369229]],[[0.69881314]],[[0.6617792]],[[0.6123901]],[[0.70619607]],[[0.67469996]],[[0.76879466]],[[0.7094749]],[[0.6790347]],[[0.6153034]],[[0.7704502]],[[0.67437845]],[[0.6913546]],[[0.62047935]],[[0.72779846]],[[0.71999276]],[[0.67650604]],[[0.7591406]],[[0.78462946]],[[0.66548514]],[[0.7549036]],[[0.77344954]]
[[0.74113375]],[[0.65625805]],[[0.7252381]],[[0.69636726]],[[0.72862756]],[[0.6891787]],[[0.67267674]],[[0.6954639]],[[0.7152872]],[[0.61625457]],[[0.69597185]],[[0.6898802]],[[0.679641]],[[0.6029702]],[[0.69381505]],[[0.6302687]],[[0.75101656]],[[0.7050521]],[[0.6268814]],[[0.69786716]],[[0.7600567]],[[0.7626782]],[[0.70407]],[[0.6572479]],[[0.6647878]],[[0.72705907]],[[0.66984165]],[[0.81114304]],[[0.7370447]],[[0.6075796]],[[0.6786247]],[[0.7639178]]
[[0.71071386]],[[0.64579415]],[[0.6721348]],[[0.62125987]],[[0.71250165]],[[0.625872]],[[0.64494014]],[[0.71031183]],[[0.71837974]],[[0.631397]],[[0.70528215]],[[0.6817176]],[[0.6568343]],[[0.6531595]],[[0.7007993]],[[0.62534237]],[[0.7395778]],[[0.6828277]],[[0.66636676]],[[0.5980875]],[[0.72157425]],[[0.70084965]],[[0.67677784]],[[0.6333663]],[[0.62731636]],[[0.6652719]],[[0.6939521]],[[0.7299101]],[[0.723076]],[[0.6904786]],[[0.77331984]],[[0.73962927]]
[[0.6859438]],[[0.6636797]],[[0.704436]],[[0.65688634]],[[0.7219422]],[[0.61509144]],[[0.69211644]],[[0.6745621]],[[0.7666658]],[[0.6996677]],[[0.6840464]],[[0.68538696]],[[0.6803644]],[[0.7508751]],[[0.7003467]],[[0.71318054]],[[0.65927076]],[[0.64527833]],[[0.6905851]],[[0.7179874]],[[0.7400477]],[[0.6404178]],[[0.66155887]],[[0.6828793]],[[0.74125504]],[[0.6762949]],[[0.6768438]],[[0.6533295]],[[0.7854693]],[[0.72582054]],[[0.7673615]],[[0.6442591]]
[[0.7560538]],[[0.74035764]],[[0.7417977]],[[0.6489148]],[[0.82774675]],[[0.67889833]],[[0.6841088]],[[0.72127384]],[[0.7572377]],[[0.5732229]],[[0.67644835]],[[0.73535776]],[[0.6875336]],[[0.67162305]],[[0.7962294]],[[0.70672804]],[[0.8563175]],[[0.7897535]],[[0.69244874]],[[0.71347976]],[[0.77282417]],[[0.7480746]],[[0.7261354]],[[0.7368904]],[[0.6059504]],[[0.6772567]],[[0.6954855]],[[0.8384853]],[[0.77358866]],[[0.7081648]],[[0.65354705]],[[0.8204577]]
[[0.73070276]],[[0.66094583]],[[0.7290158]],[[0.65132004]],[[0.63047147]],[[0.590924]],[[0.68466556]],[[0.7190923]],[[0.7752682]],[[0.7400081]],[[0.61877686]],[[0.6388939]],[[0.65351397]],[[0.7053033]],[[0.69763154]],[[0.639604]],[[0.7743639]],[[0.75891]],[[0.65404]],[[0.65614146]],[[0.6651466]],[[0.6487054]],[[0.7008009]],[[0.66027343]],[[0.562152]],[[0.5615762]],[[0.6902658]],[[0.7498678]],[[0.73649544]],[[0.61438507]],[[0.6443989]],[[0.6829005]]
[[0.7436306]],[[0.5688139]],[[0.6874556]],[[0.715878]],[[0.67889756]],[[0.6214461]],[[0.67794776]],[[0.6741343]],[[0.76731706]],[[0.6637342]],[[0.68513674]],[[0.6628609]],[[0.6490813]],[[0.7615336]],[[0.63603956]],[[0.57473993]],[[0.8158175]],[[0.6930326]],[[0.5713943]],[[0.7056946]],[[0.6797095]],[[0.6279813]],[[0.6514501]],[[0.64937913]],[[0.640744]],[[0.57923317]],[[0.6463187]],[[0.71055716]],[[0.71049595]],[[0.6904271]],[[0.69004273]],[[0.65041757]]
[[0.71911865]],[[0.50456655]],[[0.6837353]],[[0.7225942]],[[0.6897777]],[[0.61953807]],[[0.6625867]],[[0.67136025]],[[0.70352286]],[[0.6969801]],[[0.7545678]],[[0.6223866]],[[0.64493537]],[[0.70772374]],[[0.60361236]],[[0.6161028]],[[0.7806805]],[[0.74885935]],[[0.5977149]],[[0.67009395]],[[0.6794517]],[[0.68384415]],[[0.61202097]],[[0.6037524]],[[0.6658726]],[[0.5928402]],[[0.61326206]],[[0.7276073]],[[0.7116102]],[[0.684759]],[[0.65197235]],[[0.6832803]]
[[0.66788596]],[[0.5822217]],[[0.6798486]],[[0.6803016]],[[0.6295158]],[[0.5779814]],[[0.6933495]],[[0.67104524]],[[0.74943274]],[[0.6987495]],[[0.65298474]],[[0.6341117]],[[0.62766147]],[[0.67303026]],[[0.6255515]],[[0.5863775]],[[0.7785932]],[[0.70931995]],[[0.5615762]],[[0.6660009]],[[0.6457654]],[[0.63379693]],[[0.62122506]],[[0.6034495]],[[0.6067738]],[[0.52473545]],[[0.63138014]],[[0.70909166]],[[0.70861804]],[[0.65923667]],[[0.6730699]],[[0.6475839]]
[[0.7198162]],[[0.62999237]],[[0.68524814]],[[0.72132075]],[[0.6885836]],[[0.55517226]],[[0.66689706]],[[0.7348321]],[[0.7504312]],[[0.7054642]],[[0.7058402]],[[0.69756055]],[[0.7124581]],[[0.7104456]],[[0.6748693]],[[0.6203084]],[[0.77660656]],[[0.7046922]],[[0.61957616]],[[0.6540137]],[[0.65267587]],[[0.7219497]],[[0.71564996]],[[0.6176377]],[[0.6170603]],[[0.5668091]],[[0.6469412]],[[0.76262647]],[[0.6756431]],[[0.73074895]],[[0.70065886]],[[0.630635]]
[[0.6714554]],[[0.6868382]],[[0.8178948]],[[0.8119769]],[[0.70448834]],[[0.74598676]],[[0.6833874]],[[0.74083596]],[[0.7717746]],[[0.7323297]],[[0.6214107]],[[0.76883584]],[[0.7290165]],[[0.74506253]],[[0.6209959]],[[0.6434641]],[[0.67439675]],[[0.70137304]],[[0.75561035]],[[0.65987134]],[[0.658465]],[[0.690852]],[[0.7087803]],[[0.7118552]],[[0.7024699]],[[0.7726698]],[[0.70939183]],[[0.63339365]],[[0.718045]],[[0.6696288]],[[0.7867552]],[[0.68177176]]
[[0.7367463]],[[0.6075479]],[[0.6038002]],[[0.6045817]],[[0.5010853]],[[0.5493945]],[[0.67592514]],[[0.6350211]],[[0.7131243]],[[0.6751187]],[[0.5557369]],[[0.62260365]],[[0.6281064]],[[0.654569]],[[0.5959848]],[[0.5553236]],[[0.75780654]],[[0.6746162]],[[0.61317855]],[[0.6449355]],[[0.61335576]],[[0.63671005]],[[0.5756345]],[[0.6510179]],[[0.5833332]],[[0.5127989]],[[0.57754445]],[[0.68581]],[[0.6524815]],[[0.67914754]],[[0.6393876]],[[0.6649623]]
[[0.7062726]],[[0.60134244]],[[0.66271615]],[[0.7227596]],[[0.69819987]],[[0.61000246]],[[0.70755076]],[[0.6790039]],[[0.7949183]],[[0.68214923]],[[0.6450427]],[[0.68910456]],[[0.6753097]],[[0.6901443]],[[0.61579704]],[[0.59361595]],[[0.7222756]],[[0.7359159]],[[0.6305297]],[[0.6726233]],[[0.6929374]],[[0.7188038]],[[0.66908264]],[[0.6508534]],[[0.63001776]],[[0.57268757]],[[0.6533779]],[[0.70892435]],[[0.7633747]],[[0.683941]],[[0.7346823]],[[0.64755976]]
[[0.76217985]],[[0.69065934]],[[0.726698]],[[0.72023904]],[[0.71043205]],[[0.6032371]],[[0.8084628]],[[0.7019619]],[[0.77442217]],[[0.70531297]],[[0.7129543]],[[0.6676074]],[[0.7092663]],[[0.6842799]],[[0.7107861]],[[0.66966885]],[[0.76048595]],[[0.7481992]],[[0.73867613]],[[0.7591028]],[[0.7491778]],[[0.6358912]],[[0.726121]],[[0.7302186]],[[0.5566765]],[[0.6500021]],[[0.7151989]],[[0.69231915]],[[0.7530216]],[[0.5777023]],[[0.7295702]],[[0.63791424]]
