cough,pushbike,drawer,cooking,keys,slidingDoorclose,train,lake,switch,buspassby,footstepsongrass,lightrain,chairsmoving,doorclose,knock,mindthegap,motorbike,birdsong,keylock,wind,trolley,bagrustle,laughter,footsteps,gate,checkoutbeeps,running,doorslam,speech,clearthroat,money,phone
[[0.83102244]],[[0.7794044]],[[0.87071896]],[[0.7738354]],[[0.8708019]],[[0.89763135]],[[0.76935405]],[[0.87364554]],[[0.7968279]],[[0.88468736]],[[0.80169255]],[[0.8156593]],[[0.73633635]],[[0.7926743]],[[0.67259014]],[[0.79613805]],[[0.8143532]],[[0.7611931]],[[0.8490378]],[[0.85809225]],[[0.81914127]],[[0.7210927]],[[0.7589843]],[[0.70042354]],[[0.7522919]],[[0.8164543]],[[0.79705817]],[[0.8082068]],[[0.761231]],[[0.71975136]],[[0.77631176]],[[0.7660985]]
[[0.7756227]],[[0.77046484]],[[0.73963535]],[[0.787632]],[[0.88499737]],[[0.7776339]],[[0.8335537]],[[0.74608785]],[[0.79879534]],[[0.82366943]],[[0.77483517]],[[0.723837]],[[0.8484782]],[[0.7313641]],[[0.74609435]],[[0.8037911]],[[0.7118618]],[[0.7338512]],[[0.922605]],[[0.6485387]],[[0.8050306]],[[0.65403354]],[[0.74970394]],[[0.72492313]],[[0.79810286]],[[0.75274915]],[[0.79940695]],[[0.70271343]],[[0.72850454]],[[0.8388246]],[[0.7710651]],[[0.6654289]]
[[0.8035076]],[[0.6796071]],[[0.92954075]],[[0.722758]],[[0.8681634]],[[0.8835272]],[[0.7243527]],[[0.6683933]],[[0.7842416]],[[0.8164072]],[[0.8744836]],[[0.73374975]],[[0.7330774]],[[0.83672345]],[[0.76285714]],[[0.8257766]],[[0.59915173]],[[0.6738952]],[[0.8784909]],[[0.6583594]],[[0.7260843]],[[0.68242186]],[[0.7853006]],[[0.8004067]],[[0.81817997]],[[0.72310466]],[[0.7110666]],[[0.83030677]],[[0.7356911]],[[0.87083757]],[[0.69737744]],[[0.66034675]]
[[0.7098589]],[[0.8373952]],[[0.7403669]],[[0.709728]],[[0.83829105]],[[0.8545698]],[[0.83707416]],[[0.6454236]],[[0.823974]],[[0.8236178]],[[0.81760234]],[[0.75209266]],[[0.82565284]],[[0.81304264]],[[0.78163725]],[[0.7824818]],[[0.7740305]],[[0.63082063]],[[0.92542833]],[[0.5881207]],[[0.83346653]],[[0.66811454]],[[0.71150047]],[[0.7800219]],[[0.78953314]],[[0.7922313]],[[0.7709081]],[[0.7204095]],[[0.7801539]],[[0.88869405]],[[0.69823277]],[[0.6647123]]
[[0.87359667]],[[0.77024734]],[[0.90606815]],[[0.79897577]],[[0.8650135]],[[0.8508982]],[[0.88396454]],[[0.7172286]],[[0.7509691]],[[0.7876454]],[[0.8232831]],[[0.6884992]],[[0.83193403]],[[0.7220174]],[[0.7532507]],[[0.7991611]],[[0.668282]],[[0.6666986]],[[0.86211497]],[[0.64722097]],[[0.79231644]],[[0.6434255]],[[0.80312234]],[[0.77192146]],[[0.7702462]],[[0.67912734]],[[0.8362068]],[[0.61333907]],[[0.8606173]],[[0.9004602]],[[0.78987336]],[[0.75345147]]
[[0.7863901]],[[0.742754]],[[0.8698429]],[[0.7736955]],[[0.7813319]],[[0.83175695]],[[0.7665374]],[[0.68470234]],[[0.6534114]],[[0.8015866]],[[0.8251837]],[[0.6212028]],[[0.8859636]],[[0.7610704]],[[0.66835]],[[0.77729714]],[[0.7691751]],[[0.58933353]],[[0.78239137]],[[0.64651126]],[[0.7733409]],[[0.69599235]],[[0.6549798]],[[0.74606586]],[[0.7296703]],[[0.63837713]],[[0.75826424]],[[0.5816513]],[[0.7021172]],[[0.8311225]],[[0.6771221]],[[0.6788416]]
[[0.9052587]],[[0.87453103]],[[0.97681457]],[[0.82867956]],[[0.96551245]],[[0.8896542]],[[0.9818342]],[[0.8451761]],[[0.87618965]],[[0.88625085]],[[0.8349507]],[[0.8487725]],[[0.9438096]],[[0.8120839]],[[0.9243385]],[[0.84774214]],[[0.7978342]],[[0.84501976]],[[1.0013394]],[[0.86858624]],[[0.926522]],[[0.85377455]],[[0.8938206]],[[0.7746169]],[[0.91378736]],[[0.637192]],[[0.9128257]],[[0.8170224]],[[0.8822026]],[[0.9558678]],[[0.8718995]],[[0.83836]]
[[0.78751975]],[[0.71949923]],[[0.6661101]],[[0.7832661]],[[0.7813759]],[[0.82864463]],[[0.7611262]],[[0.5710309]],[[0.7461617]],[[0.7762145]],[[0.6974664]],[[0.75736845]],[[0.8451029]],[[0.7224069]],[[0.79128426]],[[0.76814854]],[[0.73951626]],[[0.6122533]],[[0.83039117]],[[0.7334055]],[[0.7873091]],[[0.766044]],[[0.6411898]],[[0.66878325]],[[0.77807295]],[[0.7937446]],[[0.6915958]],[[0.67368823]],[[0.73826146]],[[0.7980568]],[[0.6727356]],[[0.6631229]]
[[0.80623966]],[[0.6669854]],[[0.7979714]],[[0.7605303]],[[0.7681285]],[[0.7445174]],[[0.8220412]],[[0.7418072]],[[0.8091345]],[[0.76751125]],[[0.73081034]],[[0.7728863]],[[0.80468166]],[[0.73026043]],[[0.8002387]],[[0.76371324]],[[0.7643111]],[[0.6617457]],[[0.81682295]],[[0.8000247]],[[0.8303852]],[[0.72109437]],[[0.76171696]],[[0.78626764]],[[0.7302136]],[[0.8178807]],[[0.78294075]],[[0.7648412]],[[0.7923304]],[[0.7917594]],[[0.7741792]],[[0.74207413]]
[[0.71250415]],[[0.6901903]],[[0.7206658]],[[0.7139215]],[[0.7587268]],[[0.81747633]],[[0.7102106]],[[0.69841063]],[[0.7419529]],[[0.8335061]],[[0.7143233]],[[0.79139686]],[[0.8420616]],[[0.7100152]],[[0.7430439]],[[0.7575611]],[[0.6599065]],[[0.6618896]],[[0.8321264]],[[0.7348979]],[[0.7442672]],[[0.650606]],[[0.6569054]],[[0.6898148]],[[0.6929938]],[[0.8936226]],[[0.6548911]],[[0.6987027]],[[0.7513914]],[[0.8635547]],[[0.6565283]],[[0.6133872]]
[[0.737571]],[[0.68370014]],[[0.7351736]],[[0.7734649]],[[0.7849393]],[[0.7721621]],[[0.7414255]],[[0.7518537]],[[0.7790302]],[[0.85026157]],[[0.7208561]],[[0.7929995]],[[0.8725753]],[[0.65423965]],[[0.7186118]],[[0.73675025]],[[0.69112825]],[[0.60707515]],[[0.75167066]],[[0.59659725]],[[0.68661356]],[[0.64734113]],[[0.6323739]],[[0.6780257]],[[0.6844876]],[[0.8029552]],[[0.7138725]],[[0.6291063]],[[0.76634324]],[[0.7888201]],[[0.6710133]],[[0.71576405]]
[[0.8655404]],[[0.8321321]],[[0.9404445]],[[0.8653505]],[[0.87445027]],[[0.9538267]],[[0.83540523]],[[0.76024497]],[[0.87293404]],[[0.82885313]],[[0.63351524]],[[0.9243792]],[[0.8449724]],[[0.84075683]],[[0.8259605]],[[0.81828654]],[[0.8521447]],[[0.5900167]],[[0.9113708]],[[0.83166647]],[[0.7741439]],[[0.76919365]],[[0.7359545]],[[0.68352276]],[[0.94159204]],[[0.8771597]],[[0.85363877]],[[0.79288566]],[[0.6530996]],[[0.89926773]],[[0.8326411]],[[0.81116873]]
[[0.77736807]],[[0.78092414]],[[0.7363317]],[[0.60819197]],[[0.7514856]],[[0.82658637]],[[0.6317898]],[[0.7063335]],[[0.71821725]],[[0.80226034]],[[0.6095549]],[[0.7378528]],[[0.75296617]],[[0.7446586]],[[0.8008854]],[[0.7249254]],[[0.7654638]],[[0.5190756]],[[0.7515563]],[[0.62236166]],[[0.70181084]],[[0.7423936]],[[0.6343082]],[[0.61573553]],[[0.7348888]],[[0.84656584]],[[0.6119919]],[[0.7243747]],[[0.6537573]],[[0.821566]],[[0.5264083]],[[0.5077224]]
[[0.9115374]],[[0.86468786]],[[0.7403693]],[[0.74661505]],[[0.78300595]],[[0.8021851]],[[0.82728887]],[[0.7758632]],[[0.7973774]],[[0.87790644]],[[0.7058977]],[[0.8362734]],[[0.82546633]],[[0.8293697]],[[0.89950603]],[[0.88919413]],[[0.8311564]],[[0.6514145]],[[0.8132428]],[[0.77384114]],[[0.761273]],[[0.8467342]],[[0.8189737]],[[0.7533642]],[[0.8453624]],[[0.9305819]],[[0.8245562]],[[0.84025174]],[[0.8394778]],[[0.8826363]],[[0.7511547]],[[0.6848225]]
[[0.9815924]],[[0.9210386]],[[0.95982]],[[0.8785362]],[[0.86635625]],[[0.88472724]],[[0.92601454]],[[0.8003714]],[[0.9034321]],[[1.0141615]],[[0.747663]],[[0.8747311]],[[0.8270005]],[[0.895635]],[[0.91154236]],[[0.96942765]],[[0.9233378]],[[0.71816534]],[[0.9683224]],[[0.81950337]],[[0.77949774]],[[0.83729124]],[[0.8808495]],[[0.77215934]],[[0.967997]],[[0.948706]],[[0.883601]],[[0.887382]],[[0.9979438]],[[0.9243706]],[[0.9186973]],[[0.80976194]]
[[0.8311994]],[[0.7805646]],[[0.7715844]],[[0.67598796]],[[0.71471024]],[[0.81271464]],[[0.7638109]],[[0.68593395]],[[0.68548465]],[[0.88413376]],[[0.69400215]],[[0.78461623]],[[0.7509152]],[[0.75028205]],[[0.7594135]],[[0.8221054]],[[0.68352896]],[[0.5704229]],[[0.7693951]],[[0.7196764]],[[0.6903398]],[[0.76663196]],[[0.76212436]],[[0.714391]],[[0.7572141]],[[0.85771126]],[[0.6902446]],[[0.6913974]],[[0.8530009]],[[0.9025228]],[[0.6734973]],[[0.58732474]]
[[0.94618773]],[[0.82266366]],[[0.8600067]],[[0.7878752]],[[0.80999327]],[[0.844838]],[[0.82583964]],[[0.7882196]],[[0.73224324]],[[0.92428637]],[[0.74110246]],[[0.81698394]],[[0.82899326]],[[0.8365834]],[[0.8864737]],[[0.8686302]],[[0.6976986]],[[0.67369187]],[[0.84457505]],[[0.83619606]],[[0.7570683]],[[0.8735568]],[[0.92112595]],[[0.7791492]],[[0.86613715]],[[0.951756]],[[0.7721602]],[[0.76778483]],[[0.96705925]],[[0.9779705]],[[0.7967317]],[[0.75947785]]
[[0.85373247]],[[0.8532752]],[[0.8985534]],[[0.7870177]],[[0.764772]],[[0.80375266]],[[0.8501516]],[[0.7139775]],[[0.83336323]],[[0.8707155]],[[0.7136546]],[[0.9106308]],[[0.8388319]],[[0.8201691]],[[0.8155138]],[[0.89244765]],[[0.786651]],[[0.6405409]],[[0.84699434]],[[0.8287332]],[[0.76518106]],[[0.7485066]],[[0.8213593]],[[0.7919078]],[[0.8308308]],[[0.9112057]],[[0.8023032]],[[0.80758417]],[[0.8851996]],[[0.89933705]],[[0.8186328]],[[0.7304876]]
[[0.9111764]],[[0.8680064]],[[0.8550428]],[[0.8022488]],[[0.81308585]],[[0.83145547]],[[0.8846103]],[[0.7634643]],[[0.8041462]],[[0.97108686]],[[0.7432289]],[[0.8634435]],[[0.81854963]],[[0.8224803]],[[0.84268147]],[[0.93001294]],[[0.74139583]],[[0.6457819]],[[0.83127654]],[[0.799207]],[[0.79746187]],[[0.8642269]],[[0.8555439]],[[0.8209366]],[[0.89063275]],[[0.94163585]],[[0.8166554]],[[0.7662795]],[[0.85217094]],[[0.9476174]],[[0.80144584]],[[0.72747433]]
[[1.0041773]],[[0.8070812]],[[0.8016429]],[[0.83868164]],[[0.7563346]],[[0.6302564]],[[0.84081113]],[[0.83636427]],[[0.7899473]],[[0.9919921]],[[0.76426804]],[[0.82260007]],[[0.8356972]],[[0.79376304]],[[0.90450287]],[[0.86175156]],[[0.75030756]],[[0.7536573]],[[0.8127084]],[[0.848153]],[[0.8252506]],[[0.89502]],[[0.9012123]],[[0.7892156]],[[0.8604946]],[[0.9256953]],[[0.80889976]],[[0.77881575]],[[0.9608954]],[[0.92897177]],[[0.8334599]],[[0.7983687]]
[[0.97171086]],[[0.8946778]],[[0.99454457]],[[0.8736038]],[[0.89252543]],[[0.84679323]],[[0.9117228]],[[0.82646304]],[[0.789942]],[[1.0083053]],[[0.7994863]],[[0.85744345]],[[0.8053554]],[[0.8723043]],[[0.892814]],[[0.8877905]],[[0.8827795]],[[0.6578658]],[[0.7788696]],[[0.7993001]],[[0.8822618]],[[0.92110103]],[[0.8772932]],[[0.7732483]],[[0.8640899]],[[0.9716558]],[[0.81422234]],[[0.8156177]],[[0.9551091]],[[0.8946315]],[[0.89649653]],[[0.8236679]]
[[0.78727114]],[[0.7704371]],[[0.85449564]],[[0.82012373]],[[0.8648163]],[[0.9191736]],[[0.77470505]],[[0.74968565]],[[0.73878825]],[[0.84957814]],[[0.8022984]],[[0.78257024]],[[0.9014332]],[[0.84406644]],[[0.80161625]],[[0.8257282]],[[0.8228429]],[[0.71058613]],[[0.85952127]],[[0.7175326]],[[0.69035804]],[[0.827399]],[[0.737013]],[[0.78101474]],[[0.8819898]],[[0.76554024]],[[0.7292386]],[[0.76263213]],[[0.811119]],[[0.8802601]],[[0.785176]],[[0.7060623]]
[[0.8260506]],[[0.8071211]],[[0.7410505]],[[0.7625271]],[[0.81653225]],[[0.8703006]],[[0.7718157]],[[0.6212744]],[[0.79513496]],[[0.8348873]],[[0.70480865]],[[0.81621504]],[[0.7964328]],[[0.85614175]],[[0.8472019]],[[0.8155099]],[[0.81654066]],[[0.6109556]],[[0.81476456]],[[0.72056866]],[[0.70546055]],[[0.78419703]],[[0.78290176]],[[0.7333509]],[[0.8440431]],[[0.8814214]],[[0.774063]],[[0.73440695]],[[0.8320348]],[[0.880497]],[[0.7459377]],[[0.7297433]]
[[0.7729548]],[[0.7704259]],[[0.84090614]],[[0.80231476]],[[0.8317895]],[[0.9283986]],[[0.79611117]],[[0.8000402]],[[0.82018167]],[[0.8578784]],[[0.766008]],[[0.7593204]],[[0.6804379]],[[0.8430395]],[[0.7462948]],[[0.7971728]],[[0.7686794]],[[0.7335057]],[[0.8545227]],[[0.74274874]],[[0.8014036]],[[0.630501]],[[0.83628476]],[[0.7939286]],[[0.80009043]],[[0.8659886]],[[0.7868844]],[[0.79429394]],[[0.6583859]],[[0.8301374]],[[0.78390217]],[[0.8091526]]
[[0.8387222]],[[0.77576697]],[[0.8398002]],[[0.62581205]],[[0.84603536]],[[0.8606352]],[[0.84529245]],[[0.6969143]],[[0.7997643]],[[0.8865384]],[[0.7772351]],[[0.786965]],[[0.7087528]],[[0.79942095]],[[0.83580685]],[[0.87937796]],[[0.7282284]],[[0.7473253]],[[0.879714]],[[0.796336]],[[0.70575]],[[0.81400704]],[[0.80989087]],[[0.75388664]],[[0.83492273]],[[0.9255611]],[[0.7901416]],[[0.85213697]],[[0.86587465]],[[0.8923931]],[[0.81578237]],[[0.684252]]
[[0.7659789]],[[0.75482845]],[[0.8143096]],[[0.7796656]],[[0.7774321]],[[0.8045106]],[[0.7906355]],[[0.89592445]],[[0.8069401]],[[0.83920455]],[[0.76851386]],[[0.7490657]],[[0.8225098]],[[0.7119372]],[[0.70606774]],[[0.73853123]],[[0.7056459]],[[0.78127575]],[[0.7950645]],[[0.78946495]],[[0.7812456]],[[0.7925048]],[[0.7522491]],[[0.7460607]],[[0.71733165]],[[0.9203334]],[[0.8191924]],[[0.7240394]],[[0.7645444]],[[0.77974015]],[[0.7509222]],[[0.7291121]]
[[0.8510637]],[[0.7444773]],[[0.8069787]],[[0.77862054]],[[0.6804492]],[[0.8179336]],[[0.774139]],[[0.88188595]],[[0.82823193]],[[0.81282365]],[[0.7973611]],[[0.7805476]],[[0.7648701]],[[0.75628877]],[[0.7997007]],[[0.8105444]],[[0.69923717]],[[0.78727376]],[[0.7973125]],[[0.80081]],[[0.7271576]],[[0.6381295]],[[0.7937123]],[[0.7958474]],[[0.80277884]],[[0.86213]],[[0.73625666]],[[0.7369365]],[[0.9162862]],[[0.798089]],[[0.8616949]],[[0.77685165]]
[[0.89961094]],[[0.8611653]],[[0.70426583]],[[0.75040287]],[[0.60647357]],[[0.8389088]],[[0.80199623]],[[0.8120967]],[[0.66134906]],[[0.8089787]],[[0.7541493]],[[0.7912143]],[[0.8193445]],[[0.80401945]],[[0.9059845]],[[0.8901914]],[[0.82897645]],[[0.7251879]],[[0.55496854]],[[0.84825695]],[[0.82614315]],[[0.8776513]],[[0.8347004]],[[0.7768791]],[[0.76812047]],[[0.94907606]],[[0.84754086]],[[0.77888]],[[0.79980874]],[[0.8919938]],[[0.82119083]],[[0.7106341]]
[[0.83653677]],[[0.78551805]],[[0.65104365]],[[0.6816597]],[[0.6855563]],[[0.8152323]],[[0.67488295]],[[0.74943703]],[[0.7319081]],[[0.8091621]],[[0.6567741]],[[0.7575829]],[[0.73812187]],[[0.7726598]],[[0.81561005]],[[0.80076516]],[[0.7928637]],[[0.71813333]],[[0.69665515]],[[0.76543665]],[[0.7617902]],[[0.8143821]],[[0.77108973]],[[0.65706754]],[[0.74252266]],[[0.8508518]],[[0.6934548]],[[0.7801553]],[[0.72960806]],[[0.82899594]],[[0.6890616]],[[0.6615561]]
[[0.96819055]],[[0.83173776]],[[0.7240106]],[[0.80142343]],[[0.7627524]],[[0.8290675]],[[0.772714]],[[0.8546976]],[[0.75434417]],[[0.84112215]],[[0.7025107]],[[0.77195287]],[[0.8279246]],[[0.8423746]],[[0.92891294]],[[0.8551302]],[[0.7905917]],[[0.81135285]],[[0.75887185]],[[0.8617177]],[[0.8116033]],[[0.93047047]],[[0.9332143]],[[0.7113596]],[[0.8461723]],[[0.9492606]],[[0.7845815]],[[0.83056605]],[[0.8760106]],[[0.9129859]],[[0.80393744]],[[0.80701864]]
[[0.7847456]],[[0.8062858]],[[0.7182702]],[[0.71618253]],[[0.7486365]],[[0.86385316]],[[0.79248697]],[[0.817096]],[[0.7739314]],[[0.86100996]],[[0.778918]],[[0.77766407]],[[0.7338707]],[[0.748775]],[[0.7314754]],[[0.76767933]],[[0.8248043]],[[0.7727642]],[[0.79529756]],[[0.8242666]],[[0.8386059]],[[0.83211297]],[[0.69109833]],[[0.68112314]],[[0.8271153]],[[0.9148489]],[[0.7529042]],[[0.7760836]],[[0.67555296]],[[0.8199686]],[[0.6996492]],[[0.6387829]]
[[0.9526119]],[[0.864403]],[[0.7588093]],[[0.84576356]],[[0.8146075]],[[0.8334032]],[[0.93827397]],[[0.9838502]],[[0.78707]],[[0.90336776]],[[0.86540973]],[[0.86530066]],[[0.8513068]],[[0.824164]],[[0.9064419]],[[0.86814535]],[[0.84714925]],[[0.8834637]],[[0.8285255]],[[0.9792493]],[[0.9361638]],[[1.0087154]],[[0.8620011]],[[0.75210065]],[[0.87153566]],[[0.94120836]],[[0.90188956]],[[0.8670291]],[[0.84866565]],[[0.9522894]],[[0.8246694]],[[0.75268453]]
[[0.89791435]],[[0.94568324]],[[0.81322896]],[[0.8419286]],[[0.7761402]],[[0.8936729]],[[0.9198632]],[[0.91385174]],[[0.82632524]],[[0.8792451]],[[0.7592313]],[[0.92138547]],[[0.80228305]],[[0.8580082]],[[0.8321138]],[[0.8924725]],[[0.9505193]],[[0.78438556]],[[0.8169174]],[[0.9480053]],[[0.82957125]],[[0.8455746]],[[0.8655055]],[[0.7668352]],[[0.8569399]],[[0.9647278]],[[0.9320847]],[[0.8844248]],[[0.86374426]],[[0.8828487]],[[0.8871615]],[[0.82137525]]
[[0.9062964]],[[0.8133914]],[[0.7980005]],[[0.76066524]],[[0.8353095]],[[0.7599714]],[[0.77124465]],[[0.8783931]],[[0.78294015]],[[0.8857146]],[[0.65726346]],[[0.87161785]],[[0.91730845]],[[0.72587156]],[[0.88046575]],[[0.84486747]],[[0.7766647]],[[0.7082874]],[[0.82331836]],[[0.7872923]],[[0.9328912]],[[0.8750176]],[[0.83364624]],[[0.66160613]],[[0.7899283]],[[0.9501388]],[[0.8399078]],[[0.72527575]],[[0.7286078]],[[0.794487]],[[0.8000454]],[[0.7816832]]
[[0.77418077]],[[0.9130409]],[[0.7582805]],[[0.8541618]],[[0.8668498]],[[0.8741834]],[[0.8223915]],[[0.8319472]],[[0.77426046]],[[0.84347224]],[[0.7987747]],[[0.8824474]],[[0.9151143]],[[0.85637075]],[[0.79202914]],[[0.77481943]],[[0.8622937]],[[0.81006885]],[[0.91883]],[[0.8653549]],[[0.83922404]],[[0.7730786]],[[0.8281998]],[[0.81732845]],[[0.8734497]],[[0.77973753]],[[0.81392485]],[[0.86947775]],[[0.78783095]],[[0.78643495]],[[0.8382832]],[[0.7362237]]
[[0.83432835]],[[0.92422533]],[[0.7529038]],[[0.7614745]],[[0.6972749]],[[0.7802298]],[[0.860088]],[[0.8455557]],[[0.79093313]],[[0.88919073]],[[0.7052043]],[[0.7963792]],[[0.77956754]],[[0.760857]],[[0.83522487]],[[0.8952744]],[[0.9587526]],[[0.74610484]],[[0.73709095]],[[0.8505922]],[[0.7029908]],[[0.7599676]],[[0.85826194]],[[0.7441994]],[[0.71349484]],[[1.0161268]],[[0.88710684]],[[0.75998574]],[[0.81751937]],[[0.8569057]],[[0.8687071]],[[0.75291026]]
[[0.756955]],[[0.86122185]],[[0.72165453]],[[0.68608475]],[[0.755296]],[[0.8382605]],[[0.7423481]],[[0.8191864]],[[0.8260188]],[[0.87344825]],[[0.5710775]],[[0.86812717]],[[0.8103122]],[[0.8066664]],[[0.84920335]],[[0.7942586]],[[0.847659]],[[0.54807603]],[[0.8022983]],[[0.66576844]],[[0.7833476]],[[0.7243481]],[[0.7729192]],[[0.6694457]],[[0.7942928]],[[0.9962089]],[[0.7735322]],[[0.79382074]],[[0.84393895]],[[0.869345]],[[0.77746224]],[[0.72650766]]
[[0.8420831]],[[0.7408056]],[[0.72679293]],[[0.74636334]],[[0.7570119]],[[0.88518465]],[[0.7116921]],[[0.82369465]],[[0.8406429]],[[0.859897]],[[0.6093449]],[[0.9239385]],[[0.9075723]],[[0.82804966]],[[0.84766865]],[[0.9102854]],[[0.6592266]],[[0.60943866]],[[0.8145485]],[[0.7303766]],[[0.74821144]],[[0.73471165]],[[0.79216564]],[[0.63605773]],[[0.75055766]],[[0.90554774]],[[0.7926585]],[[0.7674471]],[[0.85282195]],[[0.86579216]],[[0.7147224]],[[0.75841856]]
[[0.8281803]],[[0.74173605]],[[0.7559616]],[[0.69420516]],[[0.8227736]],[[0.84218526]],[[0.68987906]],[[0.7841025]],[[0.8142153]],[[0.81888074]],[[0.5494057]],[[0.9206977]],[[0.82037306]],[[0.81422997]],[[0.82358825]],[[0.86235195]],[[0.6454824]],[[0.5527897]],[[0.7882631]],[[0.70234907]],[[0.7074019]],[[0.71445596]],[[0.8011999]],[[0.61529833]],[[0.73447335]],[[0.90802926]],[[0.72436076]],[[0.7768698]],[[0.7858827]],[[0.85899055]],[[0.72402024]],[[0.72695196]]
[[0.71235394]],[[0.7232615]],[[0.75903016]],[[0.6599502]],[[0.7380832]],[[0.8298477]],[[0.66544175]],[[0.7707695]],[[0.7939151]],[[0.81271327]],[[0.52732396]],[[0.8613275]],[[0.83738077]],[[0.7635281]],[[0.75076437]],[[0.82694656]],[[0.7214701]],[[0.5359893]],[[0.773479]],[[0.64647007]],[[0.71889937]],[[0.69462967]],[[0.6839988]],[[0.5564359]],[[0.684556]],[[0.9393499]],[[0.6640011]],[[0.7341628]],[[0.7785857]],[[0.8449788]],[[0.6787992]],[[0.68866944]]
[[0.8182234]],[[0.78065896]],[[0.77291346]],[[0.69487494]],[[0.73832303]],[[0.7520379]],[[0.7512375]],[[0.85770595]],[[0.8437774]],[[0.86995673]],[[0.5934166]],[[0.8923918]],[[0.88344795]],[[0.80921197]],[[0.87141335]],[[0.8049938]],[[0.75794953]],[[0.5986347]],[[0.8042737]],[[0.71204805]],[[0.81892794]],[[0.7284326]],[[0.7641496]],[[0.63686544]],[[0.7515199]],[[0.9248356]],[[0.80779195]],[[0.8286388]],[[0.8794718]],[[0.9063426]],[[0.81175697]],[[0.7484236]]
[[0.7019185]],[[0.71787035]],[[0.856888]],[[0.7488694]],[[0.7583768]],[[0.82464343]],[[0.82642734]],[[0.7144176]],[[0.8131623]],[[0.76114607]],[[0.8951987]],[[0.6741258]],[[0.78656054]],[[0.7954858]],[[0.74534965]],[[0.8306056]],[[0.67704916]],[[0.68012667]],[[0.774562]],[[0.62446487]],[[0.8138962]],[[0.62713885]],[[0.6521549]],[[0.8654575]],[[0.78064984]],[[0.8399224]],[[0.711513]],[[0.7397369]],[[0.7123987]],[[0.718255]],[[0.74455273]],[[0.7095716]]
[[0.7138995]],[[0.6553996]],[[0.7977772]],[[0.6539841]],[[0.770166]],[[0.80236554]],[[0.7198929]],[[0.82193846]],[[0.79145944]],[[0.7565602]],[[0.6472321]],[[0.8732977]],[[0.7891964]],[[0.7527905]],[[0.71073425]],[[0.77401924]],[[0.6875775]],[[0.5730467]],[[0.749563]],[[0.61556196]],[[0.711598]],[[0.6837793]],[[0.65277755]],[[0.60748255]],[[0.6243672]],[[0.8750264]],[[0.672754]],[[0.73406434]],[[0.75408006]],[[0.8367809]],[[0.6813524]],[[0.7012474]]
[[0.8050195]],[[0.75735646]],[[0.82739705]],[[0.7180043]],[[0.7490495]],[[0.8061341]],[[0.723683]],[[0.76911306]],[[0.84651357]],[[0.80604005]],[[0.56271523]],[[0.92011786]],[[0.851091]],[[0.8331598]],[[0.8280925]],[[0.8624618]],[[0.72696006]],[[0.54180086]],[[0.7930424]],[[0.70234215]],[[0.74229515]],[[0.6827537]],[[0.7551271]],[[0.6406555]],[[0.75604886]],[[0.9413737]],[[0.74718213]],[[0.8061415]],[[0.831268]],[[0.85879236]],[[0.7746344]],[[0.7241535]]
[[0.8274891]],[[0.959425]],[[0.7683886]],[[0.7658192]],[[0.83875567]],[[0.84341824]],[[0.75226825]],[[0.83370256]],[[0.77337146]],[[0.89888096]],[[0.61222255]],[[0.7617719]],[[0.8652384]],[[0.7590421]],[[0.8737297]],[[0.83227754]],[[0.976725]],[[0.6615312]],[[0.8523266]],[[0.796788]],[[0.80146277]],[[0.8428917]],[[0.8062136]],[[0.7756139]],[[0.87735116]],[[0.9349651]],[[0.8218502]],[[0.8103993]],[[0.8047163]],[[0.8173968]],[[0.8327044]],[[0.7378973]]
[[0.8216078]],[[0.91094875]],[[0.77195406]],[[0.7678547]],[[0.758028]],[[0.8316259]],[[0.791819]],[[0.664062]],[[0.7634459]],[[0.7648035]],[[0.80684423]],[[0.6911979]],[[0.8914053]],[[0.6844975]],[[0.82607025]],[[0.6913185]],[[0.8957013]],[[0.7426767]],[[0.7832699]],[[0.78084534]],[[0.8198494]],[[0.7156575]],[[0.7550793]],[[0.84920406]],[[0.70208514]],[[0.86013734]],[[0.77365327]],[[0.66789776]],[[0.85308605]],[[0.7948079]],[[0.7498982]],[[0.72162783]]
[[0.7656306]],[[0.7063737]],[[0.8576441]],[[0.8397985]],[[0.80993223]],[[0.7874381]],[[0.83723414]],[[0.83371013]],[[0.83844113]],[[0.81775045]],[[0.7003804]],[[0.79437476]],[[0.7807914]],[[0.71012163]],[[0.77900165]],[[0.74204636]],[[0.65891856]],[[0.7072821]],[[0.8424209]],[[0.7647176]],[[0.75280595]],[[0.72293913]],[[0.75264734]],[[0.724104]],[[0.78437984]],[[0.94554114]],[[0.764681]],[[0.7383747]],[[0.8425966]],[[0.71790016]],[[0.80703264]],[[0.72589743]]
[[0.74555635]],[[0.86602104]],[[0.89610696]],[[0.8265544]],[[0.82876265]],[[1.0196439]],[[0.74491984]],[[0.83941746]],[[0.7716641]],[[0.8637023]],[[0.8682194]],[[0.85566187]],[[0.80706686]],[[0.878882]],[[0.74274445]],[[0.90308297]],[[0.80756646]],[[0.7635019]],[[0.8311622]],[[0.7640095]],[[0.80771214]],[[0.71790737]],[[0.7781247]],[[0.84985423]],[[0.8519851]],[[0.86772656]],[[0.82570547]],[[0.83418846]],[[0.75158274]],[[0.87472284]],[[0.79426205]],[[0.7769476]]
